,price,bedrooms,bathrooms,sqft_living,floors,sqft_above,sqft_basement,yr_built
73,560000.0,3.0,2.5,1900,2.0,1900,0,1987
74,900000.0,3.0,1.0,1330,1.0,1330,0,1928
75,531000.0,2.0,3.0,1270,2.0,1110,160,2000
76,831000.0,4.0,3.0,2170,2.0,1610,560,1982
77,780000.0,4.0,2.5,2730,2.0,2730,0,1996
78,755000.0,4.0,2.5,2120,1.0,1620,500,1960
79,705380.0,3.0,2.5,2490,2.0,2490,0,2003
80,627000.0,4.0,2.25,1990,1.0,1210,780,1973
81,865000.0,4.0,3.0,3690,2.0,3690,0,1998
82,580000.0,2.0,1.0,2540,1.0,1320,1220,1942
83,410000.0,3.0,2.25,1800,1.0,1360,440,1978
84,485000.0,4.0,3.0,2340,1.0,1340,1000,1979
85,400000.0,2.0,1.75,2110,1.0,2110,0,1948
86,549000.0,2.0,1.0,1140,1.0,1140,0,1908
87,620000.0,3.0,1.75,1480,2.5,1480,0,2005
88,405000.0,2.0,3.0,1410,2.0,1140,270,2006
89,232000.0,2.0,1.0,1200,1.0,1200,0,1958
90,800866.0,5.0,2.5,3180,2.0,3180,0,1990
91,650000.0,3.0,1.5,2160,1.0,1400,760,1949
93,770000.0,3.0,2.0,2350,1.5,1810,540,1939
94,524000.0,3.0,1.75,1560,1.0,780,780,1944
95,541125.0,5.0,2.75,2740,1.0,1370,1370,1960
96,670000.0,3.0,2.5,1680,3.0,1680,0,1909
97,384900.0,5.0,2.5,3090,1.0,1750,1340,1968
98,406100.0,3.0,2.25,1410,3.0,1410,0,2005
100,736500.0,4.0,2.5,3180,2.0,3180,0,2000
101,570000.0,3.0,2.25,2010,1.0,1330,680,1975
102,787000.0,3.0,1.75,1330,1.0,1330,0,1961
103,328000.0,4.0,2.5,2370,2.0,2370,0,1998
104,435000.0,5.0,2.0,1840,1.0,1540,300,1942
105,499000.0,4.0,2.5,2910,2.0,2910,0,2006
106,501000.0,4.0,1.0,2070,1.0,1160,910,1963
108,400000.0,2.0,1.0,840,1.0,840,0,1955
109,220000.0,4.0,1.5,1240,1.0,1240,0,1971
110,657100.0,4.0,1.0,1390,1.0,1050,340,1924
111,309950.0,4.0,2.75,2310,2.0,2310,0,2006
112,300000.0,3.0,2.0,1050,1.0,1050,0,1986
113,525888.0,5.0,1.75,2550,1.0,1810,740,1960
114,740000.0,4.0,1.75,2010,1.5,2010,0,1902
115,340000.0,5.0,1.0,1120,1.5,1120,0,1962
116,398750.0,3.0,2.5,2230,2.0,2230,0,1954
117,206000.0,2.0,1.0,810,1.0,810,0,1944
118,1030000.0,5.0,2.75,3190,1.0,1690,1500,1976
119,600000.0,3.0,1.75,1670,1.0,1670,0,1976
120,379950.0,4.0,1.75,1970,1.0,1140,830,1960
121,287000.0,3.0,1.0,1450,1.0,1450,0,1953
123,309950.0,3.0,2.5,1880,2.0,1880,0,1994
124,600000.0,3.0,1.75,1880,1.0,1040,840,1945
125,418000.0,3.0,2.0,1410,1.5,1410,0,1930
126,449250.0,4.0,2.0,1480,1.5,1480,0,1928
127,329950.0,2.0,1.0,1140,1.5,1140,0,1949
128,245000.0,3.0,1.75,1920,1.0,1000,920,1984
129,549000.0,4.0,2.5,2910,2.0,2910,0,2008
130,800000.0,3.0,2.5,3240,2.0,3240,0,1994
131,249950.0,3.0,2.0,1550,1.0,1550,0,1958
132,210000.0,5.0,2.0,2050,1.0,1430,620,1956
134,585000.0,2.0,1.0,1770,1.5,1520,250,1949
135,615000.0,4.0,1.75,2300,1.0,1960,340,1977
136,618500.0,3.0,2.0,1800,1.0,1080,720,1942
137,487585.0,4.0,1.75,2010,1.0,1470,540,1977
138,509900.0,3.0,2.5,1790,2.0,1790,0,2010
139,631625.0,4.0,2.5,2440,2.0,2440,0,2014
140,555000.0,3.0,2.5,1940,2.0,1940,0,2009
141,340000.0,2.0,1.5,1160,2.0,1160,0,2001
142,830000.0,4.0,2.5,3400,2.0,3400,0,2007
143,890000.0,4.0,4.25,4420,2.0,3410,1010,2006
144,366750.0,3.0,3.0,1571,3.0,1571,0,2008
145,415000.0,3.0,2.25,1620,2.5,1540,80,2010
146,416286.0,3.0,2.5,1408,3.0,1408,0,2005
147,478000.0,3.0,2.5,3040,2.0,3040,0,2007
149,419190.0,2.0,2.5,1590,2.0,1590,0,2014
150,712198.0,4.0,2.5,2450,2.0,2450,0,2013
151,397000.0,4.0,2.0,1440,1.0,1200,240,1971
152,450000.0,2.0,2.0,1100,1.5,1100,0,1912
153,353000.0,3.0,1.0,1350,1.0,860,490,1947
154,609000.0,4.0,2.5,2150,2.0,2150,0,1985
155,234000.0,3.0,1.75,1490,1.0,1010,480,1975
156,561000.0,3.0,2.0,2000,2.0,2000,0,1916
157,469000.0,2.0,1.0,1030,1.0,1030,0,1924
158,329350.0,2.0,1.0,720,1.0,720,0,1942
159,488000.0,5.0,2.0,2020,1.5,2020,0,1938
160,279900.0,3.0,1.75,1580,1.0,1100,480,1962
161,606000.0,4.0,2.5,2110,2.0,2110,0,1987
162,312000.0,4.0,2.0,1300,1.0,1300,0,1950
163,650000.0,3.0,1.5,1630,1.0,1160,470,1940
164,1135000.0,4.0,2.75,3370,1.0,1970,1400,1970
165,325000.0,4.0,2.5,1890,1.0,980,910,1980
166,425000.0,4.0,2.0,1520,1.0,1520,0,1967
167,219000.0,2.0,1.0,900,1.0,900,0,1952
168,250000.0,3.0,1.0,1050,1.0,1050,0,1954
169,390000.0,3.0,1.75,1260,1.0,1260,0,1966
171,736000.0,4.0,2.5,2290,2.0,2290,0,1988
172,407000.0,4.0,2.25,2810,1.0,1710,1100,1958
173,272000.0,3.0,2.5,1650,2.0,1650,0,1998
174,362000.0,3.0,2.25,1640,1.0,1140,500,1963
175,535000.0,3.0,2.5,1850,2.0,1850,0,1991
176,284000.0,4.0,2.5,2000,2.0,2000,0,2003
177,367500.0,3.0,1.5,1410,1.0,1410,0,1961
178,379900.0,4.0,1.75,1500,1.0,1000,500,1955
179,520000.0,3.0,2.5,2460,2.0,2460,0,1980
180,175000.0,3.0,1.0,1010,1.0,1010,0,1954
181,460000.0,2.0,2.25,1230,2.0,1020,210,2004
182,345000.0,4.0,2.5,2331,2.0,2331,0,2007
183,455000.0,5.0,2.5,2240,1.0,1340,900,1978
184,610000.0,4.0,3.0,2450,1.0,1580,870,1967
185,563000.0,4.0,3.0,3100,2.0,2400,700,1996
186,612500.0,4.0,2.0,2060,1.0,1030,1030,1949
187,218000.0,3.0,1.75,1850,1.0,1320,530,1979
188,404000.0,4.0,1.75,1840,1.0,960,880,1958
189,860000.0,4.0,2.0,3740,2.0,3740,0,2000
190,136500.0,3.0,1.5,1420,1.0,1420,0,1962
191,313950.0,3.0,1.0,1510,1.0,860,650,1940
192,575000.0,3.0,1.75,2130,1.0,1170,960,1954
193,1225000.0,4.0,2.25,3490,2.0,2280,1210,1928
194,280000.0,3.0,1.75,1630,1.0,1630,0,1971
195,515000.0,3.0,2.5,1790,2.0,1790,0,1989
196,513000.0,4.0,2.5,2000,2.0,2000,0,1996
197,599000.0,4.0,2.25,2260,2.0,1400,860,1977
198,685000.0,4.0,2.5,3030,2.0,3030,0,1999
199,365000.0,3.0,1.5,1310,1.0,1310,0,1950
200,762300.0,4.0,2.5,3880,2.0,3880,0,1987
202,562000.0,5.0,2.25,3040,2.0,3040,0,1984
203,530000.0,5.0,2.5,2910,1.0,1690,1220,1964
204,525000.0,3.0,2.5,2970,1.0,1770,1200,1995
205,484000.0,2.0,1.75,1660,1.0,1160,500,1942
206,725126.0,4.0,2.5,3200,2.0,3200,0,1998
207,360000.0,4.0,2.0,2680,1.0,2680,0,1965
208,387000.0,3.0,1.0,1230,1.0,1230,0,1962
209,483500.0,4.0,2.5,2740,2.0,2740,0,1995
210,655500.0,4.0,3.5,3380,2.0,3380,0,2000
211,345000.0,3.0,1.0,1110,1.0,1110,0,1956
212,533000.0,5.0,2.75,1800,1.5,1400,400,1926
213,385000.0,3.0,1.75,1900,1.0,1280,620,1982
214,675000.0,2.0,1.0,930,1.0,930,0,1951
215,197000.0,3.0,1.75,1690,1.0,1060,630,1976
216,485000.0,3.0,2.0,1420,1.5,1420,0,1905
218,295000.0,3.0,2.25,1980,1.0,1560,420,1974
219,499000.0,2.0,1.75,1170,1.0,740,430,1903
220,1050000.0,3.0,2.5,2200,2.0,1610,590,2008
221,191000.0,3.0,1.5,800,1.0,800,0,1959
222,500000.0,3.0,2.5,1480,3.0,1480,0,2006
224,979000.0,3.0,2.5,2690,3.0,2690,0,2014
225,580000.0,4.0,3.25,3569,2.0,3569,0,2013
226,369950.0,3.0,2.0,1270,3.0,1270,0,2006
228,776000.0,4.0,2.5,3040,2.0,3040,0,2008
229,519950.0,3.0,2.25,1170,3.0,1170,0,2014
230,255000.0,5.0,2.25,2060,1.0,1030,1030,1962
231,495000.0,3.0,1.0,990,1.0,990,0,1943
232,510000.0,4.0,2.5,2430,2.0,2430,0,2003
234,253000.0,3.0,1.75,1250,1.0,1250,0,1994
235,503000.0,3.0,2.75,1540,1.0,1210,330,1980
236,275000.0,3.0,2.5,1600,2.0,1600,0,1993
237,249000.0,3.0,1.0,1110,1.0,1110,0,1952
238,310000.0,3.0,1.75,1840,1.0,1220,620,1974
239,750000.0,3.0,2.75,2520,1.0,1360,1160,1946
240,630000.0,3.0,2.5,2680,2.0,2680,0,1995
242,758000.0,4.0,2.75,2410,1.0,1780,630,1956
243,248500.0,4.0,1.75,1720,1.0,1720,0,1960
244,310000.0,3.0,1.75,2070,1.0,1420,650,1973
245,460000.0,3.0,2.0,1760,2.0,1760,0,1985
246,675000.0,3.0,1.75,1680,1.0,1680,0,1959
247,526000.0,2.0,2.0,1550,1.5,1550,0,1900
248,560000.0,3.0,3.0,4120,2.0,3180,940,1994
249,415000.0,4.0,3.0,1830,2.0,1830,0,1991
250,246000.0,3.0,1.0,1400,1.0,1400,0,1944
251,314500.0,3.0,1.75,1870,1.0,1870,0,1957
253,420000.0,2.0,1.5,1040,1.5,1040,0,1904
254,535000.0,3.0,1.75,2720,1.5,2720,0,1988
255,350000.0,3.0,1.0,1010,1.0,1010,0,1981
256,515000.0,3.0,1.75,1580,1.0,1210,370,1967
257,749950.0,4.0,2.75,2600,2.0,1960,640,1949
258,230000.0,3.0,2.5,1920,2.0,1920,0,1988
259,568000.0,3.0,2.0,2350,1.5,1780,570,1929
260,250000.0,1.0,1.0,1100,1.0,820,280,1947
261,581000.0,4.0,2.0,2510,1.0,1280,1230,1961
262,651000.0,3.0,2.5,3240,2.0,3240,0,1991
263,600000.0,3.0,2.5,2460,1.0,1860,600,1977
264,500000.0,2.0,1.0,1010,1.5,1010,0,1906
265,475000.0,2.0,1.0,820,1.0,820,0,1921
266,352000.0,5.0,2.5,2420,1.0,1620,800,1978
267,420000.0,3.0,2.25,1770,2.0,1770,0,1977
268,428000.0,2.0,2.0,1350,1.0,1350,0,2003
269,599000.0,3.0,1.75,1960,1.0,1090,870,1920
270,492000.0,4.0,2.5,3305,1.5,2245,1060,1922
271,630000.0,2.0,2.25,2550,1.0,1720,830,2011
272,900000.0,5.0,3.75,4130,2.0,3170,960,1985
273,1110000.0,4.0,1.5,2310,1.0,1890,420,1950
274,575000.0,4.0,2.0,1650,1.0,1650,0,1955
275,705000.0,4.0,2.5,2650,1.5,1520,1130,1905
276,940000.0,4.0,2.25,1890,1.0,1470,420,1963
277,313000.0,3.0,1.75,2190,1.0,2190,0,1967
278,618080.0,3.0,2.5,2030,2.0,2030,0,1988
279,640000.0,3.0,3.0,2270,2.0,2130,140,2002
280,485000.0,3.0,2.0,1610,1.0,1010,600,1917
281,300000.0,2.0,1.0,760,1.0,760,0,1913
282,379500.0,2.0,1.0,1640,1.0,840,800,1978
283,339950.0,3.0,2.25,1630,2.0,1630,0,1985
285,1340000.0,3.0,3.0,2960,2.0,2440,520,1937
286,500000.0,3.0,2.5,1940,1.0,1940,0,1987
287,239900.0,3.0,2.0,1410,1.0,1410,0,1985
288,314950.0,3.0,1.0,1040,1.0,1040,0,1968
289,361280.0,2.0,1.0,820,1.0,820,0,1944
290,100000.0,2.0,1.0,910,1.0,910,0,1956
292,480500.0,4.0,2.5,2180,1.0,2180,0,1968
293,280000.0,3.0,2.5,1600,2.0,1600,0,2000
294,440000.0,3.0,1.75,1500,1.0,1060,440,1947
295,530000.0,3.0,1.0,1340,1.0,1080,260,1910
296,560000.0,3.0,2.0,1860,1.0,1860,0,1985
297,775000.0,3.0,2.0,2540,1.5,1600,940,1905
298,160000.0,2.0,1.0,1040,1.0,1040,0,1912
299,209950.0,3.0,1.5,1380,1.0,1380,0,1960
300,226500.0,3.0,1.75,1640,1.0,1130,510,1988
301,380000.0,5.0,1.75,3000,1.0,1500,1500,1958
302,409500.0,4.0,2.75,2140,1.0,1320,820,1968
303,690000.0,3.0,2.0,1760,1.0,980,780,1942
304,405000.0,3.0,2.25,1660,1.0,1660,0,1961
305,375000.0,3.0,2.5,1830,2.0,1830,0,1990
306,794154.0,4.0,2.0,2210,1.0,1210,1000,1954
307,185000.0,4.0,1.0,1490,1.0,1490,0,1969
308,245000.0,3.0,1.5,1260,2.0,1040,220,2005
310,1040000.0,4.0,3.5,3900,2.0,3900,0,2006
311,425000.0,2.0,2.5,1150,3.0,1150,0,2008
312,495000.0,4.0,2.75,2656,2.0,2656,0,2014
313,365000.0,5.0,2.75,2410,1.0,1410,1000,2008
314,417250.0,3.0,2.25,1606,3.0,1606,0,2009
315,339950.0,2.0,1.0,820,3.0,820,0,2006
316,615000.0,2.0,1.0,1540,1.0,820,720,1946
317,403000.0,3.0,2.75,2090,2.0,2090,0,2012
318,980000.0,5.0,2.5,3160,1.0,1780,1380,1971
319,258000.0,4.0,1.75,1730,1.0,1230,500,1977
320,533000.0,3.0,1.0,1670,1.0,1170,500,1967
321,537500.0,4.0,2.5,2550,2.0,2550,0,2005
322,830000.0,5.0,3.0,3040,1.0,1970,1070,1968
323,712000.0,3.0,1.0,1250,1.5,1150,100,1900
324,262000.0,4.0,2.5,2020,2.0,2020,0,2002
325,753888.0,4.0,2.5,2660,2.0,2660,0,2003
326,134000.0,2.0,1.5,980,2.0,980,0,1922
327,402000.0,3.0,2.5,1960,1.0,1290,670,1977
328,205000.0,2.0,1.0,720,1.0,720,0,1955
329,553650.0,2.0,2.5,1360,2.0,1050,310,1997
330,559950.0,2.0,2.0,1870,1.0,1870,0,2006
331,260000.0,4.0,1.5,2130,1.0,1100,1030,1962
332,270000.0,4.0,2.5,1810,2.0,1810,0,1994
333,295000.0,2.0,1.75,2200,1.0,1100,1100,1973
334,719000.0,3.0,2.5,1690,1.5,1690,0,1928
335,266000.0,3.0,2.5,1940,1.0,1460,480,1989
336,325900.0,4.0,2.5,2320,2.0,2320,0,2004
337,647500.0,4.0,1.75,2060,1.0,1160,900,1947
338,1039000.0,4.0,1.0,3410,2.0,2190,1220,1910
339,569000.0,4.0,2.25,2250,2.0,2250,0,1980
340,246000.0,3.0,1.75,1390,1.0,1390,0,1975
341,515000.0,2.0,1.0,1060,1.0,1060,0,1926
342,207000.0,3.0,1.0,1490,1.0,1490,0,1954
343,780000.0,4.0,1.75,2480,1.0,1390,1090,1950
344,489990.0,5.0,2.25,2440,1.5,2440,0,1975
345,335000.0,3.0,1.5,2240,1.5,1480,760,1980
346,295000.0,3.0,2.5,1920,2.0,1920,0,1993
347,385000.0,3.0,1.75,1890,1.0,1230,660,1944
348,350000.0,4.0,1.75,2250,1.0,2150,100,1940
349,235000.0,2.0,1.0,1270,1.0,650,620,1923
350,358000.0,2.0,1.5,960,2.0,960,0,1993
351,716500.0,4.0,2.5,3290,2.0,3290,0,2002
352,228000.0,4.0,1.75,2000,1.0,1100,900,1965
353,405000.0,2.0,1.0,1020,1.0,1020,0,1948
354,538000.0,4.0,1.75,1840,1.0,1220,620,1967
355,530000.0,3.0,1.75,1980,1.0,1980,0,1973
357,636000.0,2.0,1.75,1230,1.5,1230,0,1925
358,535000.0,4.0,2.5,2280,2.0,2280,0,2004
360,868500.0,3.0,2.5,2920,3.0,2920,0,2008
361,530000.0,4.0,2.75,2280,1.5,1540,740,1930
362,450000.0,3.0,2.0,1510,1.0,1510,0,1954
363,230000.0,3.0,1.75,950,1.0,790,160,1939
364,229000.0,3.0,2.5,1190,2.0,1190,0,2002
365,437000.0,3.0,1.75,1310,1.0,1310,0,1976
366,1307000.0,5.0,3.25,2800,1.5,1910,890,1932
367,595000.0,3.0,2.5,1750,2.0,1750,0,1991
368,660000.0,3.0,1.75,1320,1.5,1320,0,1918
369,347500.0,4.0,2.5,2460,2.0,2460,0,1989
370,297950.0,3.0,2.0,1240,1.0,1240,0,1967
371,245000.0,3.0,1.5,1260,1.0,1260,0,1955
373,1250000.0,4.0,3.25,3820,2.0,3310,510,1990
374,413450.0,3.0,2.5,1540,3.0,1470,70,2008
375,330000.0,2.0,2.0,1550,1.5,1550,0,1972
376,424500.0,3.0,1.75,1460,1.0,1460,0,1979
377,230000.0,3.0,1.0,1390,1.0,1390,0,1960
378,930000.0,3.0,3.25,2640,2.0,1840,800,1912
379,349000.0,3.0,1.75,1590,1.0,1590,0,1988
380,835000.0,4.0,2.0,1910,1.5,1910,0,1941
381,988500.0,3.0,2.75,2015,2.0,2015,0,2007
382,500000.0,3.0,1.75,1410,3.0,1410,0,2012
383,499000.0,2.0,1.5,1110,2.0,930,180,2005
384,321950.0,2.0,1.25,860,2.0,860,0,2007
385,494000.0,3.0,2.5,2310,2.0,2310,0,2011
386,441750.0,2.0,1.5,1020,3.0,1020,0,2008
387,438000.0,2.0,1.0,980,2.0,980,0,2010
389,352000.0,3.0,2.25,1640,1.0,1640,0,1972
390,839900.0,4.0,3.5,3810,1.0,2560,1250,2013
391,765000.0,4.0,2.75,2790,2.0,2790,0,1996
392,460000.0,4.0,1.75,1750,1.5,1050,700,1926
393,224500.0,4.0,1.0,1430,1.5,1430,0,1983
394,254000.0,3.0,2.5,1850,2.0,1850,0,2003
395,255000.0,2.0,1.0,960,1.0,960,0,1984
396,610000.0,3.0,3.0,2480,1.0,1620,860,1976
397,920000.0,4.0,3.0,3750,2.0,3750,0,1976
398,402500.0,4.0,2.5,2600,2.0,2600,0,1988
399,280950.0,3.0,1.75,1390,1.0,840,550,1912
400,604000.0,4.0,2.5,2260,2.0,2260,0,1989
401,565000.0,4.0,2.25,2470,2.0,2470,0,1984
402,255000.0,2.0,1.0,810,1.0,810,0,1928
403,445000.0,4.0,2.0,1650,1.0,1000,650,1959
405,195000.0,2.0,1.0,720,1.0,720,0,1950
406,275000.0,3.0,1.5,1390,1.0,1390,0,1922
407,387000.0,3.0,2.25,1445,2.0,1300,145,2003
408,490000.0,2.0,1.0,1840,1.5,1130,710,1910
409,505000.0,3.0,2.5,2100,2.0,2100,0,1999
410,303500.0,3.0,1.5,1060,1.0,1060,0,1973
411,270000.0,3.0,1.5,1500,1.0,1500,0,1953
412,323000.0,4.0,2.75,1970,1.0,1170,800,1977
413,382000.0,3.0,3.25,1410,3.0,1410,0,2005
415,280000.0,4.0,2.0,2190,1.0,1180,1010,1977
416,260000.0,3.0,2.0,1920,1.0,1510,410,1969
417,201500.0,3.0,1.0,1160,1.0,1160,0,1959
419,536500.0,4.0,1.75,2000,1.5,1450,550,1926
420,248000.0,4.0,3.0,2163,2.0,2163,0,2006
421,532000.0,5.0,3.0,3480,1.0,2340,1140,1976
422,580000.0,4.0,2.5,2840,2.0,2840,0,1998
423,463000.0,2.0,1.0,1150,1.0,1150,0,1905
424,742500.0,4.0,2.75,3100,2.0,2000,1100,1919
425,260000.0,3.0,2.5,1420,1.0,1020,400,1963
426,590000.0,4.0,2.25,2430,1.0,2430,0,1993
427,312000.0,4.0,2.25,1930,1.0,1430,500,1984
428,566000.0,3.0,2.25,1660,1.0,1370,290,1980
429,511555.0,3.0,2.0,1400,1.0,1400,0,1963
430,583000.0,4.0,2.5,2660,2.0,2660,0,2001
431,290000.0,4.0,2.5,2000,1.0,1200,800,1968
432,311100.0,4.0,2.25,2130,1.0,1380,750,1977
433,325000.0,3.0,2.25,1352,3.0,1352,0,2007
434,491300.0,3.0,1.75,1750,1.0,1300,450,1987
435,315000.0,5.0,1.75,2320,1.0,1160,1160,1956
436,360000.0,2.0,1.0,1420,1.0,1180,240,1956
437,330000.0,4.0,2.5,1940,2.0,1940,0,2003
438,481450.0,3.0,2.0,1410,1.0,1410,0,1940
439,234950.0,3.0,1.0,1360,1.0,1360,0,1977
440,251000.0,3.0,1.75,1220,1.0,1220,0,1962
441,782000.0,4.0,2.5,2830,2.0,1980,850,1979
442,833000.0,4.0,2.75,3780,2.0,3780,0,1999
443,542500.0,4.0,2.5,2330,2.0,2330,0,1978
444,851000.0,3.0,2.5,3560,2.0,3560,0,1987
445,325000.0,4.0,1.5,1470,1.0,1470,0,1976
446,415000.0,4.0,2.25,3060,2.0,3060,0,1992
447,252500.0,3.0,1.0,1030,1.0,880,150,1947
448,465000.0,4.0,2.5,1930,1.0,1930,0,1968
449,336900.0,3.0,1.75,1780,1.0,1780,0,1979
450,225000.0,3.0,2.5,2000,2.0,2000,0,1992
451,270000.0,3.0,2.0,1690,1.0,1690,0,1969
453,536000.0,3.0,1.75,1300,1.5,1300,0,1925
454,585000.0,4.0,3.25,2400,2.0,2400,0,1982
455,445000.0,2.0,2.0,1150,1.0,860,290,1940
456,320000.0,4.0,2.25,2310,2.0,2310,0,1980
457,769900.0,4.0,3.5,2730,2.0,2400,330,2006
458,557000.0,4.0,2.5,2840,2.0,2840,0,2012
459,212000.0,2.0,1.5,1020,2.0,1020,0,2004
460,376000.0,3.0,2.0,1340,3.0,1340,0,2008
461,800000.0,4.0,3.25,3540,2.0,3540,0,2007
463,324000.0,3.0,2.25,998,2.0,798,200,2007
464,549900.0,5.0,2.75,3060,1.0,1600,1460,1979
465,320000.0,3.0,2.5,2130,2.0,2130,0,2003
466,875000.0,4.0,2.0,2520,1.0,1400,1120,1921
467,265000.0,4.0,1.0,1940,1.0,1080,860,1962
468,394950.0,3.0,2.5,1350,3.0,1270,80,2006
469,842500.0,4.0,2.5,2160,2.5,2160,0,1902
470,368000.0,3.0,2.5,1370,2.0,1010,360,2007
472,885000.0,4.0,2.5,2830,2.0,2830,0,1995
473,453246.0,3.0,2.5,2010,2.0,1390,620,2014
474,927000.0,4.0,2.75,3300,2.0,3300,0,1953
475,490000.0,2.0,2.5,1230,2.0,870,360,2004
476,341000.0,3.0,1.5,1720,1.5,1720,0,1952
477,235000.0,1.0,1.0,810,1.0,810,0,1941
478,1200000.0,3.0,1.75,1560,1.5,1560,0,1928
479,560000.0,3.0,2.0,2560,1.0,2560,0,1986
481,255000.0,2.0,1.0,1220,1.0,770,450,1910
483,876650.0,3.0,3.25,2170,1.5,1650,520,1928
484,540000.0,4.0,2.25,2540,1.0,1450,1090,1990
485,350000.0,2.0,1.0,910,1.5,910,0,1906
486,750000.0,4.0,2.5,2980,2.0,2890,90,2000
487,582000.0,4.0,1.75,2120,1.0,1190,930,1951
488,1315000.0,4.0,3.5,3460,2.0,2560,900,2004
489,372500.0,5.0,3.0,2480,1.0,1300,1180,2004
490,410000.0,3.0,2.25,2200,2.0,2200,0,1987
491,360000.0,4.0,2.0,1730,1.0,1010,720,1943
492,1015000.0,3.0,2.5,2920,1.0,1800,1120,1954
493,225000.0,3.0,1.0,990,1.0,990,0,1966
494,647000.0,4.0,2.5,3040,2.0,3040,0,1999
